,has 1 child,has 2 children,has more than 2 children,is_married,AGE AT INTERVIEW DATE,age_squared,gave_birth_to_child
41,1,0,0,1,34.0,1156.0,0.0
42,1,0,0,1,35.0,1225.0,0.0
43,0,1,0,1,37.0,1369.0,1.0
44,0,1,0,1,39.0,1521.0,0.0
45,0,1,0,1,41.0,1681.0,0.0
46,0,1,0,1,43.0,1849.0,0.0
47,0,1,0,1,45.0,2025.0,0.0
48,0,1,0,1,47.0,2209.0,0.0
49,0,1,0,1,49.0,2401.0,0.0
50,0,1,0,1,51.0,2601.0,0.0
51,0,1,0,1,53.0,2809.0,0.0
57,1,0,0,1,20.0,400.0,0.0
58,1,0,0,1,21.0,441.0,0.0
59,0,1,0,1,22.0,484.0,1.0
60,0,1,0,1,23.0,529.0,0.0
61,0,1,0,1,24.0,576.0,0.0
62,0,0,1,1,25.0,625.0,1.0
63,0,0,1,1,26.0,676.0,0.0
64,0,0,1,1,27.0,729.0,0.0
65,0,0,1,1,29.0,841.0,0.0
66,0,0,1,1,30.0,900.0,0.0
67,0,0,1,1,30.0,900.0,0.0
68,0,0,1,1,31.0,961.0,0.0
69,0,0,1,1,33.0,1089.0,0.0
70,0,0,1,1,34.0,1156.0,0.0
71,0,0,1,1,36.0,1296.0,0.0
72,0,0,1,1,38.0,1444.0,0.0
73,0,0,1,1,40.0,1600.0,0.0
75,0,0,1,1,44.0,1936.0,0.0
76,0,0,1,1,47.0,2209.0,0.0
78,0,0,1,1,51.0,2601.0,0.0
83,1,0,0,1,18.0,324.0,0.0
84,1,0,0,1,19.0,361.0,0.0
85,1,0,0,1,20.0,400.0,0.0
86,1,0,0,1,21.0,441.0,0.0
87,1,0,0,1,22.0,484.0,0.0
88,1,0,0,0,23.0,529.0,0.0
89,1,0,0,1,25.0,625.0,0.0
90,1,0,0,0,26.0,676.0,0.0
91,1,0,0,0,27.0,729.0,0.0
92,1,0,0,0,28.0,784.0,0.0
94,1,0,0,0,30.0,900.0,0.0
95,1,0,0,0,31.0,961.0,0.0
97,1,0,0,1,33.0,1089.0,0.0
98,0,1,0,1,35.0,1225.0,1.0
108,1,0,0,1,20.0,400.0,0.0
109,0,1,0,1,21.0,441.0,1.0
110,0,1,0,1,22.0,484.0,0.0
111,0,1,0,1,23.0,529.0,0.0
